Rank 1: 	['Ice', 'Fighting', 'Ground']       83.33%	Highest for 3 types.
Rank 77: 	['Grass', 'Ice', 'Fighting']        77.78%	
Rank 78: 	['Fire', 'Grass', 'Fairy']          76.39%	
Rank 79: 	['Grass', 'Rock', 'Fairy']          76.39%	
Rank 80: 	['Grass', 'Ground', 'Bug']          76.39%	
Rank 81: 	['Fighting', 'Ground', 'Bug']       76.39%	
Rank 82: 	['Grass', 'Bug', 'Rock']            76.39%	
Rank 83: 	['Ice', 'Ground']                   75.0%	Highest for 2 types.
Rank 84: 	['Ice', 'Fighting']                 75.0%	Highest for 2 types.
Rank 85: 	['Fighting', 'Flying', 'Steel']     75.0%	
Rank 86: 	['Fire', 'Ground', 'Steel']         75.0%	
Rank 87: 	['Water', 'Ground', 'Fairy']        75.0%	
Rank 88: 	['Ground', 'Ghost', 'Steel']        75.0%	
Rank 89: 	['Water', 'Ground', 'Flying']       75.0%	
Rank 90: 	['Ice', 'Ghost', 'Steel']           75.0%	
Rank 91: 	['Fire', 'Ground', 'Flying']        75.0%	
Rank 92: 	['Fire', 'Ghost', 'Fairy']          75.0%	
Rank 93: 	['Electric', 'Ground', 'Steel']     75.0%	
Rank 94: 	['Grass', 'Ground', 'Steel']        75.0%	
Rank 95: 	['Poison', 'Ground', 'Flying']      75.0%	
Rank 96: 	['Ground', 'Dark', 'Steel']         75.0%	
Rank 97: 	['Fire', 'Water', 'Ground']         75.0%	
Rank 98: 	['Fighting', 'Ground', 'Steel']     75.0%	
Rank 99: 	['Poison', 'Ground', 'Dark']        75.0%	
Rank 100: 	['Fire', 'Water', 'Ghost']          75.0%	
Rank 101: 	['Fire', 'Dark', 'Fairy']           75.0%	
Rank 102: 	['Water', 'Ground', 'Bug']          75.0%	
Rank 103: 	['Ice', 'Dark', 'Steel']            75.0%	
Rank 104: 	['Fighting', 'Poison', 'Dark']      75.0%	
Rank 105: 	['Fire', 'Electric', 'Fairy']       75.0%	
Rank 106: 	['Fire', 'Grass', 'Ghost']          75.0%	
Rank 107: 	['Fire', 'Poison', 'Ground']        75.0%	
Rank 108: 	['Electric', 'Fighting', 'Ghost']   75.0%	
Rank 109: 	['Fighting', 'Rock', 'Steel']       75.0%	
Rank 110: 	['Ground', 'Flying', 'Dragon']      75.0%	
Rank 111: 	['Fire', 'Water', 'Dark']           75.0%	
Rank 112: 	['Electric', 'Fighting', 'Poison']  75.0%	
Rank 113: 	['Fire', 'Water', 'Bug']            75.0%	
Rank 114: 	['Fire', 'Electric', 'Fighting']    75.0%	
Rank 115: 	['Fire', 'Fighting', 'Ghost']       75.0%	
Rank 116: 	['Electric', 'Fighting', 'Dark']    75.0%	
Rank 117: 	['Electric', 'Fighting', 'Fairy']   75.0%	
Rank 118: 	['Fighting', 'Poison', 'Ghost']     75.0%	
Rank 119: 	['Fighting', 'Ghost', 'Fairy']      75.0%	
Rank 120: 	['Ground', 'Rock', 'Steel']         75.0%	
Rank 121: 	['Fire', 'Water', 'Fighting']       75.0%	
Rank 122: 	['Fire', 'Ground', 'Dragon']        75.0%	
Rank 123: 	['Water', 'Ice', 'Ground']          75.0%	
Rank 124: 	['Electric', 'Poison', 'Ground']    75.0%	
Rank 125: 	['Electric', 'Ground', 'Ghost']     75.0%	
Rank 126: 	['Fighting', 'Poison', 'Flying']    75.0%	
Rank 127: 	['Fighting', 'Dark', 'Fairy']       75.0%	
Rank 128: 	['Poison', 'Ground', 'Ghost']       75.0%	
Rank 129: 	['Rock', 'Ghost', 'Fairy']          75.0%	
Rank 130: 	['Fire', 'Ice', 'Ghost']            75.0%	
Rank 131: 	['Fire', 'Fighting', 'Dark']        75.0%	
Rank 132: 	['Fire', 'Fighting', 'Fairy']       75.0%	
Rank 133: 	['Fire', 'Rock', 'Fairy']           75.0%	
Rank 134: 	['Water', 'Electric', 'Fighting']   75.0%	
Rank 135: 	['Water', 'Fighting', 'Poison']     75.0%	
Rank 136: 	['Water', 'Fighting', 'Ground']     75.0%	
Rank 137: 	['Water', 'Fighting', 'Ghost']      75.0%	
Rank 138: 	['Water', 'Ground', 'Rock']         75.0%	
Rank 139: 	['Water', 'Rock', 'Fairy']          75.0%	
Rank 140: 	['Grass', 'Rock', 'Ghost']          75.0%	
Rank 141: 	['Fire', 'Grass', 'Fighting']       75.0%	
Rank 142: 	['Fire', 'Ground', 'Psychic']       75.0%	
Rank 143: 	['Fire', 'Ground', 'Rock']          75.0%	
Rank 144: 	['Water', 'Bug', 'Rock']            75.0%	
Rank 145: 	['Electric', 'Fighting', 'Psychic'] 75.0%	
Rank 146: 	['Grass', 'Ground', 'Ghost']        75.0%	
Rank 147: 	['Fighting', 'Psychic', 'Ghost']    75.0%	
Rank 148: 	['Poison', 'Ground', 'Bug']         75.0%	
Rank 149: 	['Ground', 'Bug', 'Ghost']          75.0%	
Rank 150: 	['Fire', 'Water', 'Psychic']        75.0%	
Rank 151: 	['Fire', 'Grass', 'Dark']           75.0%	
Rank 152: 	['Fire', 'Fighting', 'Psychic']     75.0%	
Rank 153: 	['Water', 'Fighting', 'Dark']       75.0%	
Rank 154: 	['Water', 'Fighting', 'Fairy']      75.0%	
Rank 155: 	['Electric', 'Fighting', 'Bug']     75.0%	
Rank 156: 	['Grass', 'Poison', 'Ground']       75.0%	
Rank 157: 	['Fighting', 'Poison', 'Psychic']   75.0%	
Rank 158: 	['Fighting', 'Psychic', 'Dark']     75.0%	
Rank 159: 	['Fire', 'Grass', 'Rock']           75.0%	
Rank 160: 	['Water', 'Fighting', 'Bug']        75.0%	
Rank 161: 	['Ground', 'Bug', 'Dragon']         75.0%	
Rank 162: 	['Fire', 'Ice', 'Dark']             75.0%	
Rank 163: 	['Fire', 'Fighting', 'Rock']        75.0%	
Rank 164: 	['Grass', 'Fighting', 'Ghost']      75.0%	
Rank 165: 	['Fighting', 'Flying', 'Psychic']   75.0%	
Rank 166: 	['Fighting', 'Flying', 'Dragon']    75.0%	
Rank 167: 	['Fighting', 'Flying', 'Fairy']     75.0%	
Rank 168: 	['Ground', 'Bug', 'Dark']           75.0%	
Rank 169: 	['Rock', 'Dark', 'Fairy']           75.0%	
Rank 170: 	['Water', 'Fighting', 'Psychic']    75.0%	
Rank 171: 	['Electric', 'Ground', 'Dark']      75.0%	
Rank 172: 	['Normal', 'Ice', 'Ground']         75.0%	
Rank 173: 	['Fighting', 'Ground', 'Dragon']    75.0%	
Rank 174: 	['Fighting', 'Psychic', 'Bug']      75.0%	
Rank 175: 	['Fire', 'Grass', 'Psychic']        75.0%	
Rank 176: 	['Electric', 'Ground', 'Rock']      75.0%	
Rank 177: 	['Ice', 'Ground', 'Dragon']         75.0%	
Rank 178: 	['Fighting', 'Ground', 'Psychic']   75.0%	
Rank 179: 	['Fire', 'Ice', 'Psychic']          75.0%	
Rank 180: 	['Water', 'Fighting', 'Rock']       75.0%	
Rank 181: 	['Electric', 'Fighting', 'Rock']    75.0%	
Rank 182: 	['Grass', 'Fighting', 'Ground']     75.0%	
Rank 183: 	['Grass', 'Ground', 'Dark']         75.0%	
Rank 184: 	['Grass', 'Rock', 'Dark']           75.0%	
Rank 185: 	['Ice', 'Rock', 'Ghost']            75.0%	
Rank 186: 	['Fighting', 'Flying', 'Bug']       75.0%	
Rank 187: 	['Ground', 'Psychic', 'Bug']        75.0%	
Rank 188: 	['Normal', 'Ice', 'Fighting']       75.0%	
Rank 189: 	['Grass', 'Fighting', 'Dark']       75.0%	
Rank 190: 	['Ice', 'Fighting', 'Dragon']       75.0%	
Rank 191: 	['Fighting', 'Rock', 'Dragon']      75.0%	
Rank 192: 	['Ground', 'Rock', 'Dragon']        75.0%	
Rank 193: 	['Grass', 'Fighting', 'Psychic']    75.0%	
Rank 194: 	['Ground', 'Psychic', 'Rock']       75.0%	
Rank 195: 	['Ice', 'Rock', 'Dark']             75.0%	
Rank 196: 	['Fire', 'Steel', 'Fairy']          73.61%	
Rank 197: 	['Rock', 'Steel', 'Fairy']          73.61%	
Rank 198: 	['Ice', 'Flying', 'Steel']          73.61%	
Rank 199: 	['Fire', 'Water', 'Electric']       73.61%	
Rank 200: 	['Bug', 'Rock', 'Steel']            73.61%	
Rank 201: 	['Fighting', 'Poison', 'Fairy']     73.61%	
Rank 202: 	['Poison', 'Rock', 'Fairy']         73.61%	
Rank 203: 	['Bug', 'Rock', 'Fairy']            73.61%	
Rank 204: 	['Ice', 'Psychic', 'Steel']         73.61%	
Rank 205: 	['Grass', 'Flying', 'Rock']         73.61%	
Rank 206: 	['Ice', 'Rock', 'Steel']            73.61%	
Rank 207: 	['Fire', 'Ice', 'Fairy']            73.61%	
Rank 208: 	['Grass', 'Poison', 'Rock']         73.61%	
Rank 209: 	['Fire', 'Water', 'Ice']            73.61%	
Rank 210: 	['Fire', 'Ice', 'Bug']              73.61%	
Rank 211: 	['Grass', 'Fighting', 'Poison']     73.61%	
Rank 212: 	['Fire', 'Grass', 'Bug']            73.61%	
Rank 213: 	['Fighting', 'Bug', 'Fairy']        73.61%	
Rank 214: 	['Fire', 'Grass', 'Ice']            73.61%	
Rank 215: 	['Ice', 'Rock', 'Fairy']            73.61%	
Rank 216: 	['Grass', 'Fighting', 'Fairy']      73.61%	
Rank 217: 	['Grass', 'Psychic', 'Rock']        73.61%	
Rank 218: 	['Psychic', 'Bug', 'Rock']          73.61%	
Rank 219: 	['Ice', 'Bug', 'Rock']              73.61%	
Rank 220: 	['Grass', 'Ice', 'Rock']            73.61%	
Rank 221: 	['Ice', 'Psychic', 'Rock']          73.61%	
Rank 222: 	['Ground', 'Flying']                72.22%	
Rank 223: 	['Fire', 'Ground']                  72.22%	
Rank 224: 	['Ground', 'Fairy']                 72.22%	
Rank 225: 	['Fighting', 'Flying']              72.22%	
Rank 226: 	['Ground', 'Rock']                  72.22%	
Rank 227: 	['Fighting', 'Rock']                72.22%	
Rank 228: 	['Water', 'Flying', 'Steel']        72.22%	
Rank 229: 	['Water', 'Steel', 'Fairy']         72.22%	
Rank 230: 	['Electric', 'Steel', 'Fairy']      72.22%	
Rank 231: 	['Ghost', 'Steel', 'Fairy']         72.22%	
Rank 232: 	['Fighting', 'Steel', 'Fairy']      72.22%	
Rank 233: 	['Flying', 'Ghost', 'Steel']        72.22%	
Rank 234: 	['Flying', 'Dark', 'Steel']         72.22%	
Rank 235: 	['Dark', 'Steel', 'Fairy']          72.22%	
Rank 236: 	['Fire', 'Electric', 'Steel']       72.22%	
Rank 237: 	['Fire', 'Ghost', 'Steel']          72.22%	
Rank 238: 	['Water', 'Ground', 'Steel']        72.22%	
Rank 239: 	['Water', 'Bug', 'Steel']           72.22%	
Rank 240: 	['Fighting', 'Ghost', 'Steel']      72.22%	
Rank 241: 	['Electric', 'Bug', 'Steel']        72.22%	
Rank 242: 	['Fire', 'Dark', 'Steel']           72.22%	
Rank 243: 	['Water', 'Fighting', 'Steel']      72.22%	
Rank 244: 	['Poison', 'Ground', 'Steel']       72.22%	
Rank 245: 	['Fire', 'Fighting', 'Steel']       72.22%	
Rank 246: 	['Water', 'Ghost', 'Fairy']         72.22%	
Rank 247: 	['Electric', 'Fighting', 'Steel']   72.22%	
Rank 248: 	['Fighting', 'Bug', 'Steel']        72.22%	
Rank 249: 	['Ground', 'Dragon', 'Steel']       72.22%	
Rank 250: 	['Water', 'Electric', 'Flying']     72.22%	
Rank 251: 	['Water', 'Ground', 'Ghost']        72.22%	
Rank 252: 	['Rock', 'Ghost', 'Steel']          72.22%	
Rank 253: 	['Normal', 'Ground', 'Flying']      72.22%	
Rank 254: 	['Fire', 'Water', 'Flying']         72.22%	
Rank 255: 	['Fire', 'Psychic', 'Steel']        72.22%	
Rank 256: 	['Fire', 'Rock', 'Steel']           72.22%	
Rank 257: 	['Water', 'Poison', 'Fairy']        72.22%	
Rank 258: 	['Grass', 'Fighting', 'Steel']      72.22%	
Rank 259: 	['Fighting', 'Psychic', 'Steel']    72.22%	
Rank 260: 	['Fighting', 'Dark', 'Steel']       72.22%	
Rank 261: 	['Water', 'Electric', 'Bug']        72.22%	
Rank 262: 	['Water', 'Electric', 'Fairy']      72.22%	
Rank 263: 	['Water', 'Poison', 'Ground']       72.22%	
Rank 264: 	['Water', 'Flying', 'Fairy']        72.22%	
Rank 265: 	['Ice', 'Steel', 'Fairy']           72.22%	
Rank 266: 	['Rock', 'Dark', 'Steel']           72.22%	
Rank 267: 	['Water', 'Flying', 'Ghost']        72.22%	
Rank 268: 	['Ice', 'Bug', 'Steel']             72.22%	
Rank 269: 	['Normal', 'Fire', 'Ground']        72.22%	
Rank 270: 	['Normal', 'Ground', 'Fairy']       72.22%	
Rank 271: 	['Fire', 'Electric', 'Ghost']       72.22%	
Rank 272: 	['Fire', 'Poison', 'Fairy']         72.22%	
Rank 273: 	['Water', 'Flying', 'Dark']         72.22%	
Rank 274: 	['Water', 'Dark', 'Fairy']          72.22%	
Rank 275: 	['Electric', 'Ice', 'Steel']        72.22%	
Rank 276: 	['Ground', 'Psychic', 'Steel']      72.22%	
Rank 277: 	['Ground', 'Dragon', 'Fairy']       72.22%	
Rank 278: 	['Fire', 'Water', 'Poison']         72.22%	
Rank 279: 	['Fire', 'Water', 'Dragon']         72.22%	
Rank 280: 	['Fire', 'Electric', 'Bug']         72.22%	
Rank 281: 	['Fire', 'Electric', 'Dark']        72.22%	
Rank 282: 	['Fire', 'Ice', 'Flying']           72.22%	
Rank 283: 	['Water', 'Ground', 'Dark']         72.22%	
Rank 284: 	['Water', 'Flying', 'Rock']         72.22%	
Rank 285: 	['Water', 'Bug', 'Fairy']           72.22%	
Rank 286: 	['Ice', 'Ghost', 'Fairy']           72.22%	
Rank 287: 	['Fire', 'Ice', 'Steel']            72.22%	
Rank 288: 	['Ground', 'Ghost', 'Dragon']       72.22%	
Rank 289: 	['Normal', 'Ground', 'Bug']         72.22%	
Rank 290: 	['Fire', 'Grass', 'Poison']         72.22%	
Rank 291: 	['Fire', 'Fighting', 'Flying']      72.22%	
Rank 292: 	['Fire', 'Psychic', 'Fairy']        72.22%	
Rank 293: 	['Fire', 'Rock', 'Ghost']           72.22%	
Rank 294: 	['Water', 'Ice', 'Flying']          72.22%	
Rank 295: 	['Water', 'Ice', 'Ghost']           72.22%	
Rank 296: 	['Water', 'Flying', 'Bug']          72.22%	
Rank 297: 	['Water', 'Rock', 'Ghost']          72.22%	
Rank 298: 	['Electric', 'Rock', 'Fairy']       72.22%	
Rank 299: 	['Grass', 'Ghost', 'Fairy']         72.22%	
Rank 300: 	['Poison', 'Ground', 'Dragon']      72.22%	
Rank 301: 	['Poison', 'Rock', 'Dark']          72.22%	
Rank 302: 	['Ground', 'Flying', 'Psychic']     72.22%	
Rank 303: 	['Normal', 'Fighting', 'Flying']    72.22%	
Rank 304: 	['Fire', 'Grass', 'Flying']         72.22%	
Rank 305: 	['Fire', 'Fighting', 'Poison']      72.22%	
Rank 306: 	['Fire', 'Psychic', 'Ghost']        72.22%	
Rank 307: 	['Fire', 'Psychic', 'Dark']         72.22%	
Rank 308: 	['Water', 'Poison', 'Rock']         72.22%	
Rank 309: 	['Electric', 'Bug', 'Rock']         72.22%	
Rank 310: 	['Ground', 'Psychic', 'Fairy']      72.22%	
Rank 311: 	['Fire', 'Fighting', 'Bug']         72.22%	
Rank 312: 	['Fire', 'Fighting', 'Dragon']      72.22%	
Rank 313: 	['Fire', 'Bug', 'Rock']             72.22%	
Rank 314: 	['Water', 'Fighting', 'Dragon']     72.22%	
Rank 315: 	['Electric', 'Ground', 'Dragon']    72.22%	
Rank 316: 	['Fighting', 'Bug', 'Ghost']        72.22%	
Rank 317: 	['Fighting', 'Ghost', 'Dragon']     72.22%	
Rank 318: 	['Poison', 'Ground', 'Psychic']     72.22%	
Rank 319: 	['Ground', 'Psychic', 'Ghost']      72.22%	
Rank 320: 	['Flying', 'Rock', 'Ghost']         72.22%	
Rank 321: 	['Bug', 'Rock', 'Ghost']            72.22%	
Rank 322: 	['Fire', 'Electric', 'Psychic']     72.22%	
Rank 323: 	['Fire', 'Ice', 'Poison']           72.22%	
Rank 324: 	['Fire', 'Rock', 'Dark']            72.22%	
Rank 325: 	['Water', 'Ice', 'Fairy']           72.22%	
Rank 326: 	['Grass', 'Flying', 'Ghost']        72.22%	
Rank 327: 	['Ice', 'Flying', 'Ghost']          72.22%	
Rank 328: 	['Fighting', 'Psychic', 'Fairy']    72.22%	
Rank 329: 	['Poison', 'Rock', 'Ghost']         72.22%	
Rank 330: 	['Fire', 'Electric', 'Ice']         72.22%	
Rank 331: 	['Fire', 'Grass', 'Dragon']         72.22%	
Rank 332: 	['Water', 'Grass', 'Fighting']      72.22%	
Rank 333: 	['Electric', 'Fighting', 'Dragon']  72.22%	
Rank 334: 	['Ground', 'Dragon', 'Dark']        72.22%	
Rank 335: 	['Fire', 'Psychic', 'Bug']          72.22%	
Rank 336: 	['Fighting', 'Poison', 'Dragon']    72.22%	
Rank 337: 	['Ground', 'Psychic', 'Dark']       72.22%	
Rank 338: 	['Flying', 'Rock', 'Dark']          72.22%	
Rank 339: 	['Normal', 'Fighting', 'Ground']    72.22%	
Rank 340: 	['Fire', 'Water', 'Rock']           72.22%	
Rank 341: 	['Water', 'Ice', 'Bug']             72.22%	
Rank 342: 	['Grass', 'Ice', 'Ghost']           72.22%	
Rank 343: 	['Grass', 'Ground', 'Dragon']       72.22%	
Rank 344: 	['Grass', 'Dark', 'Fairy']          72.22%	
Rank 345: 	['Ice', 'Psychic', 'Ghost']         72.22%	
Rank 346: 	['Ice', 'Dark', 'Fairy']            72.22%	
Rank 347: 	['Fire', 'Psychic', 'Rock']         72.22%	
Rank 348: 	['Water', 'Psychic', 'Bug']         72.22%	
Rank 349: 	['Water', 'Rock', 'Dark']           72.22%	
Rank 350: 	['Electric', 'Grass', 'Fighting']   72.22%	
Rank 351: 	['Ice', 'Flying', 'Dark']           72.22%	
Rank 352: 	['Fighting', 'Psychic', 'Dragon']   72.22%	
Rank 353: 	['Psychic', 'Rock', 'Ghost']        72.22%	
Rank 354: 	['Normal', 'Ground', 'Rock']        72.22%	
Rank 355: 	['Water', 'Ice', 'Dark']            72.22%	
Rank 356: 	['Electric', 'Ground', 'Psychic']   72.22%	
Rank 357: 	['Grass', 'Flying', 'Dark']         72.22%	
Rank 358: 	['Water', 'Psychic', 'Rock']        72.22%	
Rank 359: 	['Normal', 'Fighting', 'Rock']      72.22%	
Rank 360: 	['Water', 'Ice', 'Psychic']         72.22%	
Rank 361: 	['Grass', 'Fighting', 'Bug']        72.22%	
Rank 362: 	['Fire', 'Ice', 'Rock']             72.22%	
Rank 363: 	['Grass', 'Fighting', 'Dragon']     72.22%	
Rank 364: 	['Grass', 'Ground', 'Psychic']      72.22%	
Rank 365: 	['Water', 'Ice', 'Rock']            72.22%	
Rank 366: 	['Electric', 'Ice', 'Rock']         72.22%	
Rank 367: 	['Ice', 'Psychic', 'Dark']          72.22%	
Rank 368: 	['Psychic', 'Rock', 'Dark']         72.22%	
Rank 369: 	['Grass', 'Ice', 'Dark']            72.22%	
Rank 370: 	['Ground', 'Bug']                   70.83%	
Rank 371: 	['Electric', 'Flying', 'Steel']     70.83%	
Rank 372: 	['Flying', 'Steel', 'Fairy']        70.83%	
Rank 373: 	['Grass', 'Flying', 'Steel']        70.83%	
Rank 374: 	['Flying', 'Rock', 'Steel']         70.83%	
Rank 375: 	['Fire', 'Water', 'Steel']          70.83%	
Rank 376: 	['Fire', 'Grass', 'Steel']          70.83%	
Rank 377: 	['Flying', 'Bug', 'Steel']          70.83%	
Rank 378: 	['Fire', 'Bug', 'Steel']            70.83%	
Rank 379: 	['Psychic', 'Bug', 'Steel']         70.83%	
Rank 380: 	['Water', 'Electric', 'Ground']     70.83%	
Rank 381: 	['Grass', 'Rock', 'Steel']          70.83%	
Rank 382: 	['Water', 'Ice', 'Steel']           70.83%	
Rank 383: 	['Fire', 'Water', 'Grass']          70.83%	
Rank 384: 	['Fire', 'Electric', 'Grass']       70.83%	
Rank 385: 	['Fire', 'Bug', 'Fairy']            70.83%	
Rank 386: 	['Flying', 'Rock', 'Fairy']         70.83%	
Rank 387: 	['Psychic', 'Rock', 'Steel']        70.83%	
Rank 388: 	['Fighting', 'Bug', 'Dark']         70.83%	
Rank 389: 	['Electric', 'Grass', 'Ground']     70.83%	
Rank 390: 	['Fighting', 'Dragon', 'Dark']      70.83%	
Rank 391: 	['Poison', 'Bug', 'Rock']           70.83%	
Rank 392: 	['Grass', 'Flying', 'Fairy']        70.83%	
Rank 393: 	['Flying', 'Bug', 'Rock']           70.83%	
Rank 394: 	['Psychic', 'Rock', 'Fairy']        70.83%	
Rank 395: 	['Poison', 'Psychic', 'Rock']       70.83%	
Rank 396: 	['Bug', 'Rock', 'Dragon']           70.83%	
Rank 397: 	['Fighting', 'Bug', 'Dragon']       70.83%	
Rank 398: 	['Bug', 'Rock', 'Dark']             70.83%	
Rank 399: 	['Ice', 'Flying', 'Bug']            70.83%	
Rank 400: 	['Ice', 'Flying', 'Rock']           70.83%	
Rank 401: 	['Grass', 'Rock', 'Dragon']         70.83%	
Rank 402: 	['Grass', 'Flying', 'Bug']          70.83%	
Rank 403: 	['Ice', 'Poison', 'Rock']           70.83%	
Rank 404: 	['Grass', 'Ice', 'Flying']          70.83%	
Rank 405: 	['Ice', 'Psychic', 'Bug']           70.83%	
Rank 406: 	['Grass', 'Psychic', 'Bug']         70.83%	
Rank 407: 	['Grass', 'Ice', 'Psychic']         70.83%	
Rank 408: 	['Ground', 'Steel']                 69.44%	
Rank 409: 	['Fighting', 'Ghost']               69.44%	
Rank 410: 	['Ground', 'Ghost']                 69.44%	
Rank 411: 	['Poison', 'Ground']                69.44%	
Rank 412: 	['Electric', 'Fighting']            69.44%	
Rank 413: 	['Fire', 'Fighting']                69.44%	
Rank 414: 	['Water', 'Fighting']               69.44%	
Rank 415: 	['Ground', 'Dark']                  69.44%	
Rank 416: 	['Fighting', 'Ground']              69.44%	
Rank 417: 	['Grass', 'Steel', 'Fairy']         69.44%	
Rank 418: 	['Bug', 'Steel', 'Fairy']           69.44%	
Rank 419: 	['Fire', 'Flying', 'Steel']         69.44%	
Rank 420: 	['Water', 'Ghost', 'Steel']         69.44%	
Rank 421: 	['Fire', 'Dragon', 'Steel']         69.44%	
Rank 422: 	['Water', 'Electric', 'Steel']      69.44%	
Rank 423: 	['Electric', 'Ghost', 'Steel']      69.44%	
Rank 424: 	['Grass', 'Ghost', 'Steel']         69.44%	
Rank 425: 	['Electric', 'Ghost', 'Fairy']      69.44%	
Rank 426: 	['Bug', 'Ghost', 'Steel']           69.44%	
Rank 427: 	['Water', 'Dark', 'Steel']          69.44%	
Rank 428: 	['Poison', 'Dark', 'Fairy']         69.44%	
Rank 429: 	['Bug', 'Dark', 'Steel']            69.44%	
